garden_id,canonical_name,normalized_name,current_status,status_confidence,status_checked_date,district_current,subdivision_or_block,tea_board_registration,atlas_index,historical_area_ha,tea_area_ha,current_company_id,current_owner_confidence,last_material_event_date,contact_confirmed_active,research_state,prospect_eligibility,exclusion_reason,source_ids,notes
gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,bamandanga tondoo,likely_active,medium,2026-09-02,Jalpaiguri,,2382 & 2383,7,734.25,460.46,,unknown,2025-02-18,no,needs_current_owner,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-damdim,Damdim,damdim,active_confirmed,high,2026-09-02,Jalpaiguri,Jalpaiguri,A2,27,1361.51,738.02,gs-company-amalgamated-plantations-pvt-ltd,high,2026-09-02,no,needs_contact,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-kumlai,Kumlai,kumlai,likely_active,medium,2026-09-02,Jalpaiguri,,A-3,66,,,,unknown,2025-02-18,no,needs_current_owner,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-manabarie,Manabarie,manabarie,likely_active,medium,2026-09-02,Jalpaiguri,Matelli,2307,76,521.72,292,,unknown,2025-02-18,no,needs_current_owner,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-nowera-nuddy,Nowera Nuddy,nowera nuddy,active_confirmed,high,2026-09-02,Jalpaiguri,Mainaguri,A-7,92,553.03,257.8,gs-company-amalgamated-plantations-pvt-ltd,high,2026-09-02,no,needs_contact,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-samsing,Samsing,samsing,likely_active,medium,2026-09-02,Jalpaiguri,,2623,106,1256.61,915.17,,unknown,2025-02-18,no,needs_current_owner,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-torsa,Torsa,torsa,likely_active,medium,2026-09-02,Alipurduar,Madarihat,65,121,691,482,gs-company-majherdabri-authority,medium,2025-01-20,no,needs_contact,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-rungamuttee,Rungamuttee,rungamuttee,active_confirmed,high,2026-09-02,Jalpaiguri,Matelli,A4,,1427.77,771.74,gs-company-amalgamated-plantations-pvt-ltd,high,2026-09-02,no,needs_contact,target_candidate,,tea-board-wb-directory-2013|tea-board-registered-planters-2019,Tea Board directory Dooars seed.
gs-dooars-kalchini,Kalchini,kalchini,likely_active,medium,2026-09-02,Alipurduar,Kalchini,2532,,1151.75,742.15,,unknown,2025-02-18,no,needs_current_owner,target_candidate,,tea-board-wb-directory-2013|tea-board-registered-planters-2019,Tea Board directory Dooars seed.
gs-dooars-dalmore,Dalmore,dalmore,likely_active,medium,2026-09-02,Alipurduar,Falakata,C-67,,1195.11,552.92,,unknown,2025-02-18,no,needs_current_owner,target_candidate,,tea-board-wb-directory-2013|tea-board-registered-planters-2019,Tea Board directory Dooars seed.
gs-dooars-raimatang,Raimatang,raimatang,likely_active,medium,2026-09-02,Alipurduar,Kumargram,2533,,663.07,535.27,,unknown,2025-02-18,no,needs_current_owner,target_candidate,,tea-board-wb-directory-2013|tea-board-registered-planters-2019,Tea Board directory Dooars seed.
